,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
V,10,364,T,90,45,106,2,12,6,B,71,20,105,1,5,1
V,10,365,T,87,44,105,1,11,5,B,74,21,106,2,6,2
V,10,366,T,86,43,105,2,11,5,B,75,22,106,1,6,2
V,10,367,T,83,42,106,1,11,4,B,78,23,105,2,6,3
V,10,368,T,82,41,106,2,11,4,B,79,24,105,1,6,3
V,10,369,T,79,24,105,1,6,3,B,82,41,106,2,11,4
V,10,370,T,78,23,105,2,6,3,B,83,42,106,1,11,4
V,10,371,T,75,22,106,1,6,2,B,86,43,105,2,11,5
V,10,372,T,74,21,106,2,6,2,B,87,44,105,1,11,5
V,10,373,T,71,20,105,1,5,1,B,90,45,106,2,12,6
V,10,374,T,70,19,105,2,5,1,B,91,46,106,1,12,6
V,10,375,T,67,18,106,1,5,0,B,94,47,105,2,12,7
V,10,376,T,66,17,106,2,5,0,B,95,48,105,1,12,7
V,10,377,B,95,64,105,1,16,7,T,66,1,106,2,1,0
V,10,378,B,94,63,105,2,16,7,T,67,2,106,1,1,0
V,10,379,B,91,62,106,1,16,6,T,70,3,105,2,1,1
V,10,380,B,90,61,106,2,16,6,T,71,4,105,1,1,1
V,10,381,B,87,60,105,1,15,5,T,74,5,106,2,2,2
V,10,382,B,86,59,105,2,15,5,T,75,6,106,1,2,2
V,10,383,B,83,58,106,1,15,4,T,78,7,105,2,2,3
V,10,384,B,82,57,106,2,15,4,T,79,8,105,1,2,3
V,10,385,B,79,40,105,1,10,3,T,82,25,106,2,7,4
V,10,386,B,78,39,105,2,10,3,T,83,26,106,1,7,4
V,10,387,B,75,38,106,1,10,2,T,86,27,105,2,7,5
V,10,388,B,74,37,106,2,10,2,T,87,28,105,1,7,5
V,10,389,B,71,36,105,1,9,1,T,90,29,106,2,8,6
V,10,390,B,70,35,105,2,9,1,T,91,30,106,1,8,6
