Sample in Buffer,Sample in Window,TRIGGER,fifoAutoDC_ren,fifoAutoDC_dout[15:0],m_axis_tid[4:0]
342,342,0,0,017e,18
343,343,0,0,017e,18
344,344,0,0,017e,18
345,345,0,0,017e,18
346,346,0,0,017e,18
347,347,0,0,017e,18
348,348,0,0,017e,18
349,349,0,0,017e,18
350,350,0,0,017e,18
351,351,0,0,017e,18
352,352,0,0,017e,18
353,353,0,0,017e,18
354,354,0,0,017e,18
355,355,0,0,017e,18
356,356,0,0,017e,18
357,357,0,0,017e,18
358,358,0,0,017e,18
359,359,0,0,017e,18
360,360,0,0,017e,18
361,361,0,0,017e,18
362,362,0,0,017e,18
363,363,0,0,017e,18
364,364,0,0,017e,18
365,365,0,0,017e,18
366,366,0,0,017e,18
367,367,0,0,017e,18
368,368,0,0,017e,18
369,369,0,0,017e,18
370,370,0,0,017e,18
371,371,0,0,017e,18
372,372,0,0,017e,18
373,373,0,0,017e,18
374,374,0,0,017e,18
375,375,0,0,017e,18
376,376,0,0,017e,18
377,377,0,0,017e,18
378,378,0,0,017e,18
379,379,0,0,017e,18
380,380,0,0,017e,18
381,381,0,0,017e,18
382,382,0,0,017e,18
383,383,0,0,017e,18
384,384,0,0,017e,18
385,385,0,0,017e,18
386,386,0,0,017e,18
387,387,0,0,017e,18
388,388,0,0,017e,18
389,389,0,0,017e,18
390,390,0,0,017e,18
391,391,0,0,017e,18
392,392,0,0,017e,18
393,393,0,0,017e,18
394,394,0,0,017e,18
395,395,0,0,017e,18
396,396,0,0,017e,18
397,397,0,0,017e,18
398,398,0,0,017e,18
399,399,0,0,017e,18
400,400,0,0,017e,18
401,401,0,0,017e,18
402,402,0,0,017e,18
403,403,0,0,017e,18
404,404,0,0,017e,03
405,405,0,0,017e,03
406,406,0,0,017e,03
407,407,0,0,017e,03
408,408,0,0,017e,03
409,409,0,0,017e,03
410,410,0,0,017e,03
411,411,0,0,017e,03
412,412,0,0,017e,03
413,413,0,0,017e,03
414,414,0,0,017e,03
415,415,0,0,017e,03
416,416,0,0,017e,03
417,417,0,0,017e,03
418,418,0,0,017e,03
419,419,0,0,017e,03
420,420,0,0,017e,03
421,421,0,0,017e,03
422,422,0,0,017e,03
423,423,0,0,017e,03
424,424,0,0,017e,03
425,425,0,0,017e,03
426,426,0,0,017e,03
427,427,0,0,017e,03
